,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,google_id,book_language,categories,description
0,0195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,KyLfwAEACAAJ,en,Social Science,"Provides an introduction to classical myths placing the addressed topics within their historical context, discussion of archaeological evidence as support for mythical events, and how these themes have been portrayed in literature, art, music, and film."
1,0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,yfx0vgEACAAJ,en,Actresses,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s. While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things aren't as simple as they appear -- Nora's letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Clara's life is shattered by a series of unforeseeable events. These twists of fate require all of Clara's courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test."
2,0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,_LufAAAAMAAJ,en,1940-1949,"Here, for the first time in paperback, is an outstanding military history that offers a dramatic new perspective on the Allied campaign that began with the invasion of the D-Day beaches of Normandy. Nationa advertising in Military History."
3,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,GkthXOZv17kC,en,Medical,"Describes the great flu epidemic of 1918, an outbreak that killed some forty million people worldwide, and discusses the efforts of scientists and public health officials to understand and prevent another lethal pandemic"
4,0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton & Company,5OujQgAACAAJ,en,Design,"A look at the incredibly well-preserved ancient mummies found in Western China describes their clothing and appearance, attempts to reconstruct their culture, and speculates about how Caucasians could have found their way to the feet of the Himalayan mountains."
5,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,s6IRKtePtDMC,en,Fiction,"A Chinese immigrant who is convinced she is dying threatens to celebrate the Chinese New Year by unburdening herself of everybody's hidden truths, thus prompting a series of comic misunderstandings"
6,0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,LxevDAEACAAJ,en,History,"Essays by respected military historians, including Stephen Ambrose, David McCullough, James McPherson, and John Keegan, consider the consequences if history had turned out differently, such as if the weather on D-Day had been worse or if Washington had not escaped from Long Island. Reprint."
8,0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,slQSAAAAYAAJ,en,Fiction,"Now back in print, Ann Beattie's finest short story collection, reissued to accompany the publication of her latest novel, ""The Doctor's House."" Most of the characters in ""Where You'll Find Me"" grew up in the 1960s and 1970s, are in their twenties and thirties and embody a curious, yet familiar, fusion of hope and despair. In finely crafted narratives, Beattie writes of women nursing broken hearts, men looking for love, and married couples struggling to stay together."
9,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,twdaAAAAYAAJ,en,Fiction,Another story based in the fictional rural town in Miramichi.
10,0771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,It0dsvM5E60C,en,Fiction,"Based on newly declassified documents and archival research, Hitler's Secret Bankers reveals the full, hitherto unknown extent of Swiss economic collaboration with the Nazis during World War II. In this updated edition, readers discover how and why the Swiss finally buckled and agreed to pay $1.25 billion in compensation for the funds deposited by Holocaust victims in Swiss banks. In addition to the dispute over dormant accounts, Swiss banks provided to the Nazi war machine the foreign currency that paid for vital war materiel such as chrome and aluminum. The author also explains how the exposure of the myth of Swiss neutrality, in collaboration with the Nazis, triggered investigations into the role of the British regarding Holocaust victims and the part played by Germany and its failure to compensate the survivors of slave labor, as well as the upheaval in the art world, which failed to restore stolen paintings to their rightful owners."
